duration_rust_single_threaded; rust_multi_threaded; rust_rayon ; java_single_threaded; java_multi_threaded; java_multi_threaded_virtual
131894; 3937; 4073;  198107;   87269;  87271
132673; 3907; 4131;  197116;   87024;  87131
132404; 3946; 4108;  196983;   87180;  87213
132945; 3920; 4108;  199555;   87214;  87137
132585; 3929; 4096;  196787;   87130;  87250
131106; 3965; 4089;  196398;   87092;  87248
132596; 3922; 4094;  201844;   87269;  87240
129900; 3927; 4122;  194897;   87252;  87187
133237; 3900; 4128;  198514;   87216;  87448
129924; 3960; 4112;  191037;   87323;  87277
132957; 3931; 4091;  192650;   87510;  87274
141630; 3937; 4114;  201687;   87265;  87176
132273; 3954; 4143;  200504;   87325;  87108
140826; 3932; 4093;  196330;   87258;  87182
140426; 3910; 4139;  201919;   87296;  87576
141545; 3998; 4097;  200103;   87192;  87372
138400; 3970; 4138;  192906;   87256;  87182
131143; 3878; 4088;  196784;   87249;  87009
132370; 3906; 4090;  204675;   87297;  87247
132064; 3917; 4135;  197811;   87178;  86943
132487; 3976; 4128;  196781;   87327;  87318
133224; 3939; 4084;  195451;   87307;  87326
134879; 3951; 4162;  197765;   87009;  87296
141617; 3896; 4116;  196105;   87377;  87315
141522; 3919; 4073;  201743;   87360;  87216
134329; 3937; 4110;  198518;   87242;  87391
131814; 3898; 4125;  198048;   87346;  87316
133964; 3967; 4088;  197472;   87554;  87375
132244; 3946; 4081;  197134;   87293;  87282
130317; 3975; 4094;  202815;   87381;  87510
130196; 3954; 4094;  196228;   87139;  87341
138838; 3966; 4106;  195924;   87317;  87232
131126; 3928; 4105;  198456;   87319;  87264
132518; 3942; 4085;  199010;   87284;  87222
131240; 3957; 4101;  197884;   87280;  87296
142072; 3973; 4084;  200109;   87208;  87314
132395; 3901; 4090;  196362;   87289;  87338
132531; 3903; 4082;  205757;   87286;  87358
139420; 3960; 4114;  206575;   87252;  87205
131843; 3933; 4110;  197890;   87338;  87217
131736; 3892; 4100;  197007;   87321;  87134
132600; 3905; 4093;  199151;   87361;  87281
129958; 3994; 4115;  200244;   87296;  87300
130493; 3965; 4104;  195896;   87275;  87329
132751; 3949; 4099;  197757;   87286;  87242
132855; 3905; 4107;  199703;   87277;  87244
130868; 3920; 4087;  196770;   87343;  87406
132263; 3911; 4098;  197825;   87452;  87410
131648; 3914; 4093;  196311;   87306;  87396
131987; 3914; 4134;  198703;   87359;  87376
